"Town","FIPS"
"Connecticut","09"
"Bethel","0900104720"
"Bridgeport","0900108070"
"Brookfield","0900108980"
"Danbury","0900118500"
"Darien","0900118850"
"Easton","0900123890"
"Fairfield","0900126620"
"Greenwich","0900133620"
"Monroe","0900148620"
"New Canaan","0900150580"
"New Fairfield","0900150860"
"Newtown","0900152980"
"Norwalk","0900156060"
"Redding","0900163480"
"Ridgefield","0900163970"
"Shelton","0900168170"
"Sherman","0900168310"
"Stamford","0900173070"
"Stratford","0900174190"
"Trumbull","0900177200"
"Weston","0900183430"
"Westport","0900183500"
"Wilton","0900186370"
"Avon","0900302060"
"Berlin","0900304300"
"Bloomfield","0900305910"
"Bristol","0900308490"
"Burlington","0900310100"
"Canton","0900312270"
"East Granby","0900322070"
"East Hartford","0900322630"
"East Windsor","0900324800"
"Enfield","0900325990"
"Farmington","0900327600"
"Glastonbury","0900331240"
"Granby","0900332640"
"Hartford","0900337070"
"Hartland","0900337140"
"Manchester","0900344700"
"Marlborough","0900345820"
"New Britain","0900350440"
"Newington","0900352140"
"Plainville","0900360120"
"Rocky Hill","0900365370"
"Simsbury","0900368940"
"Southington","0900370550"
"South Windsor","0900371390"
"Suffield","0900374540"
"West Hartford","0900382590"
"Wethersfield","0900384900"
"Windsor","0900387000"
"Windsor Locks","0900387070"
"Barkhamsted","0900502760"
"Bethlehem","0900504930"
"Bridgewater","0900508210"
"Canaan","0900510940"
"Colebrook","0900516050"
"Cornwall","0900517240"
"Goshen","0900532290"
"Harwinton","0900537280"
"Kent","0900540290"
"Litchfield","0900543370"
"Morris","0900549460"
"New Hartford","0900551350"
"New Milford","0900552630"
"Norfolk","0900553470"
"North Canaan","0900554030"
"Plymouth","0900560750"
"Roxbury","0900565930"
"Salisbury","0900566420"
"Sharon","0900567960"
"Thomaston","0900575730"
"Torrington","0900576570"
"Warren","0900579510"
"Washington","0900579720"
"Watertown","0900580490"
"Winchester","0900586440"
"Woodbury","0900587910"
"Chester","0900714300"
"Clinton","0900715350"
"Cromwell","0900718080"
"Deep River","0900719130"
"Durham","0900720810"
"East Haddam","0900722280"
"East Hampton","0900722490"
"Essex","0900726270"
"Haddam","0900735230"
"Killingworth","0900740710"
"Middlefield","0900747080"
"Middletown","0900747360"
"Old Saybrook","0900757320"
"Portland","0900761800"
"Westbrook","0900781680"
"Ansonia","0900901220"
"Beacon Falls","0900903250"
"Bethany","0900904580"
"Branford","0900907310"
"Cheshire","0900914160"
"Derby","0900919550"
"East Haven","0900922910"
"Guilford","0900934950"
"Hamden","0900935650"
"Madison","0900944560"
"Meriden","0900946520"
"Middlebury","0900946940"
"Milford","0900947535"
"Naugatuck","0900949950"
"New Haven","0900952070"
"North Branford","0900953890"
"North Haven","0900954870"
"Orange","0900957600"
"Oxford","0900958300"
"Prospect","0900962290"
"Seymour","0900967610"
"Southbury","0900969640"
"Wallingford","0900978740"
"Waterbury","0900980070"
"West Haven","0900982870"
"Wolcott","0900987560"
"Woodbridge","0900987700"
"Bozrah","0901106820"
"Colchester","0901115910"
"East Lyme","0901123400"
"Franklin","0901129910"
"Griswold","0901133900"
"Groton","0901134250"
"Lebanon","0901142390"
"Ledyard","0901142600"
"Lisbon","0901143230"
"Lyme","0901144210"
"Montville","0901148900"
"New London","0901152350"
"North Stonington","0901155500"
"Norwich","0901156270"
"Old Lyme","0901157040"
"Preston","0901162150"
"Salem","0901166210"
"Sprague","0901171670"
"Stonington","0901173770"
"Voluntown","0901178600"
"Waterford","0901180280"
"Andover","0901301080"
"Bolton","0901306260"
"Columbia","0901316400"
"Coventry","0901317800"
"Ellington","0901325360"
"Hebron","0901337910"
"Mansfield","0901344910"
"Somers","0901369220"
"Stafford","0901372090"
"Tolland","0901376290"
"Union","0901377830"
"Vernon","0901378250"
"Willington","0901385950"
"Ashford","0901501430"
"Brooklyn","0901509190"
"Canterbury","0901512130"
"Chaplin","0901513810"
"Eastford","0901521860"
"Hampton","0901536000"
"Killingly","0901540500"
"Plainfield","0901559980"
"Pomfret","0901561030"
"Putnam","0901562710"
"Scotland","0901567400"
"Sterling","0901573420"
"Thompson","0901575870"
"Windham","0901586790"
"Woodstock","0901588190"
